tempo,mfcc_mean,spectral_centroid,spectral_bandwidth,zero_crossing_rate,track_name,artist,genre
129.19921875,4.1666856,3215.737695370157,3843.457490843424,0.06017995517566783,Afrobeats,Ruff-N-Smooth,afrobeats
114.84375,3.9603527,2214.848191640715,3013.0991151422936,0.03946401350174216,Afrobeats 2023,Paul Cleverlee,afrobeats
120.18531976744185,-0.87488025,2488.7290611736857,2729.469254730434,0.05304174833042973,Instrumental Street Reggaeton (I),Reggaeton & Hip Hop Instrumentals Pistas,afrobeats
114.84375,0.27074417,3070.9100392438568,3217.309401118345,0.05974176859514131,Instrumental Street Reggaeton (IV),Reggaeton & Hip Hop Instrumentals Pistas,afrobeats
139.6748310810811,0.34374675,1969.4323043922036,2822.912584474592,0.03436040638308169,Kenya Chants,Chants Africains,afrobeats
101.33272058823529,1.0298029,1988.320770116492,2804.5036195256316,0.03337533724109563,Warriors of Africa Chants,Chants Africains,afrobeats
99.38401442307692,-1.3946413,2492.4927928413713,2681.4202481967427,0.0636566445554373,Afrobeats,Kelvyn Boy,afrobeats
93.96306818181819,-4.612567,1574.5149542620136,1923.2804588777624,0.031925805446670535,Instrumental Street Reggaeton (VIII),Reggaeton & Hip Hop Instrumentals Pistas,afrobeats
135.99917763157896,0.8486435,1483.248092159754,2055.005648233577,0.029547440378289474,Under The Pale Moonlight,Afro Beats,afrobeats
126.04801829268293,-0.8392441,2558.793522058163,3457.3359018340507,0.04264871122483546,WYD (WHERE YOU DEY),Afrobeats Central,afrobeats
109.95678191489361,5.544057,1662.1442850621002,2458.7041149161514,0.01329550335123887,Afrobeats 2020 (Instrumental),Official Odbeats,afrobeats
93.96306818181819,-2.440441,2359.9330645515834,2959.90848436056,0.04244133819686411,Afrobeats Prelude and Amapiano Fugue,Joachim Horsley,afrobeats
114.84375,1.5293633,2414.0311218060265,3256.4771467267838,0.034636966765873016,Afrobeats Party Mix (Vol. 2),Dj Legend Vibes,afrobeats
114.84375,1.7029535,1509.8027251514395,2078.9799312568807,0.019871326642953928,Amapiano Waves,AfroBeatsZ,afrobeats
143.5546875,2.6094942,2652.879861563349,3324.031235567569,0.047792961188540456,Afrobeats wave,JaytheDj,afrobeats
129.19921875,1.5515898,3301.755114323431,3533.0942495367517,0.0721212011227255,Afrobeats Mix n Blend Africa,DJ Collins,afrobeats
126.04801829268293,4.816174,3185.6807382875554,3584.363152752818,0.0651584201388889,Afrobeats Vol 1,DJ SKIP SCAP,afrobeats
93.96306818181819,-1.736419,2536.879851571836,3173.0839922995337,0.04549163097657762,Afrobeats Prelude,Joachim Horsley,afrobeats
95.703125,-3.2690325,1551.4602390756877,1960.038524598836,0.032122970504258615,"Afrobeats Workout Vibes, Vol. 2",AJET BEATS,afrobeats
120.18531976744185,-0.019095842,2144.0666816560984,2673.028798131518,0.035123735723964385,Afrobeat Nights,AfroBeatsZ,afrobeats
